_id,DATA,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,num_semaforo,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
7863,2019-09-10T00:00:00,19:26:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA GENERAL EDSON AMANCIO RAMALHO,"",RUA PADRE CARAPUCEIRO,"",RUA GENERAL EDSON AMANCIO RAMALHO,"","",BOA VIAGEM,321,CIDADE,ABALROAMENTO TRANSVERSAL,ENTRE DOIS AUTO S/V,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,"",Dupla,Faixa seccionada,Canteiro central,""
7864,2019-09-10T00:00:00,20:33:00,COM VÍTIMA,FINALIZADA,ILHA JOANA BEZERRA,AV BEIRA RIO,"","","APÓS O FORUM DE RECIFE, POR BAIXO DO VIADUTO DA AGAMENON",AV BEIRA RIO,"","APÓS O FORUM DE RECIFE, POR BAIXO DO VIADUTO DA AGAMENON",ILHA JOANA BEZERRA,,"",COLISÃO FRONTAL,MOTO X AUTO PASSEIO COM VÍTIMA,1,1,,,,,,,,1,,Longo da via,Bom,Não existe,Incompleta,Seca,Mal iluminada,"",Outras,"",Dupla,Faixa contínua,Faixa seccionada,""
7865,2019-09-10T00:00:00,21:41:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA SETUBAL,422,"",PRÉDIO RODIM,RUA SETUBAL,422,PRÉDIO RODIM,BOA VIAGEM,,CIDADE,ABALROAMENTO LONGITUDINAL,SANDERO X VW/TRACKER OBS: SUSPEITA DE EMBRIAGUEZ,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,"","","",Única,Não existe,"",""
7866,2019-09-10T00:00:00,22:02:00,SEM VÍTIMA,DUPLICIDADE,BOA VIAGEM,RUA SETUBAL,"","",POR TRÁS DO EDF ATLANTE PLAZA,RUA SETUBAL,"",POR TRÁS DO EDF ATLANTE PLAZA,BOA VIAGEM,,"",COLISÃO,ENTRE DOIS AUTO S/V,2,,,,,,,,,0,,"","","","","","","","","","","","",""
7867,2019-09-11T00:00:00,06:24:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,RUA AMARO GOMES POROCA,"",RUA CORONEL PACHECO,UTE GREGÓRIO BEZERRA ( ESCOLA MUNICIPAL),RUA AMARO GOMES POROCA,"",UTE GREGÓRIO BEZERRA ( ESCOLA MUNICIPAL),VÁRZEA,,"",ABALROAMENTO LONGITUDINAL,COLISÃO SEM VITIMAS,1,,,,,1,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,"",Dupla,Faixa contínua,"",""
7868,2019-09-11T00:00:00,07:09:00,SEM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,949,RUA ARQUITETO AUGUSTO REINALDO,ATACADO DA CONSTRUÇÃO,AV HERCULANO BANDEIRA,949,ATACADO DA CONSTRUÇÃO,PINA,660,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO SEM VITIMAS,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Única,Faixa contínua,"",""
7869,2019-09-11T00:00:00,07:22:00,SEM VÍTIMA,CANCELADA,TORRÕES,EST DO FORTE DO ARRAIAL N. DO B. JESUS,"",RUA TAMBORIL,EM FRENTE A PRAÇA DO FORTE,EST DO FORTE DO ARRAIAL N. DO B. JESUS,"",EM FRENTE A PRAÇA DO FORTE,TORRÕES,,"",COLISÃO,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,2,,,,,,,,,0,,"","","","","","","","","","","","",""
7870,2019-09-11T00:00:00,07:23:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DEZ DE JULHO,481,RUA CAMBUI,PROX A ESTAÇAO DO AEROPORTO / EM FRENTE A CASA DE FESTA CRISTAL,RUA DEZ DE JULHO,481,PROX A ESTAÇAO DO AEROPORTO / EM FRENTE A CASA DE FESTA CRISTAL,BOA VIAGEM,,SUBURBIO,ABALROAMENTO TRANSVERSAL,DOIS AUTOS,2,,,,,,,,,2,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Placas Pare,"",Dupla,Faixa seccionada,"",""
7871,2019-09-11T00:00:00,07:34:00,SEM VÍTIMA,FINALIZADA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,"","",UPA DOS TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,"",UPA DOS TORRÕES,TORRÕES,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO DE TRÊS CARROS DE PASSEIO (SANDUÍCHE),3,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,"",Dupla,Canteiro central,"",""
7872,2019-09-11T00:00:00,08:46:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,RUA VINTE E QUATRO DE AGOSTO,"","",AO LADO DA ANTIGA CONTAX,RUA VINTE E QUATRO DE AGOSTO,"",AO LADO DA ANTIGA CONTAX,SANTO AMARO,,"",COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0,,"","","","","","","","","","","","",""
